Question,Answer,Class
"J'ai entendu parler de changements sur les profils, de quoi s'agit-il?","À partir du 18/07/2017, Diamono devient Jamono avec 3 nouvelles formules : 
−Jamono Allo pour ceux qui préfèrent plutôt téléphoner, mais qui commencent à s’intéresser à l’internet mobile 
−Jamono New S’cool pour ceux qui ont entre 15 et 30 ans, aiment internet, les réseaux sociaux, chater et parler avec leurs amis quelque soit leur formule Orange; avec des tarifs préférentiels entre eux :1F/s et 5F/SMS 
−Jamono Max pour ceux qui appellent beaucoup et utilisent tout autant internet 
Ci-dessous les avantages de  ce changement.
Des illimix adaptés en durée/horaire d’utilisation, et des services pour simplifier la vie du client : 
−la possibilité de l’acheter directement par Orange Money 
−report de minutes et abonnement illimix 
−des bonus lorsque le client l’achète par Orange Money ou l’appli Orange et moi 
Des avantages exclusifs 
−surprises sur le programme de fidélité Sargal 
−Une offre Family qui tient compte des tout-petits pour leur permettre de joindre à tarif réduit leurs parents : 0,5F/s ou 5F/SMS 
−Meilleurs tarifs internationaux, des Pass Internationaux #165# et de Pass roaming #166# .",Offres mobiles
Comment mettre à jour sa montre connectée Android ?,"1. Dans l'écran ""Paramètres"" de la montre, appuyez sur À propos .
2. Faites défiler l'écran vers le bas, puis appuyez sur Mises à jour du système.
• Si des mises à jour sont disponibles, la montre les télécharge. Sinon, un message s'affiche indiquant que la montre est à jour.
Remarque : Lorsqu'une mise à jour du logiciel Android Wear est disponible, vous recevez automatiquement une alerte sur votre montre si :
• la montre est raccordée au chargeur et à portée du signal Bluetooth de votre téléphone ;
• votre téléphone est allumé et connecté à Internet.",Entre nous
Comment puis je accéder au service MyCanal?,"Vous devez installer l’application sur votre Smartphone ou tablette, disposer du numéro client Canal (Disponible sur votre facture fixe) et du numéro de décodeur fictif (Fournis par Orange ) afin de créer votre compte MyCanal.",TVO
"J’ai le bouquet Evasion+, je continue à payer la même chose?","Oui, jusqu’au 31 août 2017, votre abonnement reste à 18.000F. A partir du 1er septembre 2017, la redevance passera à 20.000F.",TV d'orange et contenus
Qu’est-ce qui a changé dans le parcours pour payer les factures SDE et SONATEL via Orange Money a évolué?," Pour SDE, le numéro de police est désormais utilisé comme référence de paiement au lieu du numéro de la référence facture suivi du tiret du (-) des chiffres du mois et des 2 chiffres de l’année de la date d’échéance.
 Pour les factures de SONATEL vous utilisez désormais le numéro de téléphone fixe et non de la facture
Le menu #144# Orange Money vous présente désormais toutes les factures disponibles et pas encore payées; vous avez la possibilité de choisir celle que vous souhaitez payer.
Vous avez la possibilité d’imprimer votre reçu électronique sur le site www.orange-money.sn .",Orange Money
Comment convertir ses points sargal en numéro illimité/semaine ?,"Pour convertir ses points sargal en numéro illimité/semaine, il faut composer le #221#124# et suivre les instructions.",Offres mobiles
Comment bloquer quelqu'un dans la liste de contacts (Liste Noire) ?,"1- Rendez-vous dans les réglages de l'iPhone.
2- Descendez jusqu'à l'onglet Téléphone puis naviguez vers Blocage d'appels et identification et cliquez sur Bloquer un contact.
3-Faites le choix parmi vos contacts.",Terminaux et applications
J’ai une ligne Kirène avec Orange. Puis-je souscrire à l’offre tout en conservant mon numéro ?,"Non, l’offre n’est pas compatible avec votre numéro actuel. Si vous souhaitez migrer votre ligne vers les Forfaits Bloqués mobile, vous  devrez changer de numéro.",Offres mobiles
Je déménage et je voudrais savoir comment faire pour déplacer mon abonnement fixe et internet.,"On l'appelle transfert de ligne.Si vous êtes le propriétaire de la ligne, il faudra vous rendre en agence avec une copie de votre pièce d'identité si vous êtes de nationalité sénégalaise ou votre passeport au cas échéant. Vous pouvez aussi mandater une personne de confiance en prenant le soin de lui remettre une procuration.
Les frais de transfert d'une ligne fixe couplée avec internet s'élèvent à 10.294 FCFA et ceux d'une ligne simple à 5147 FCFA.",Internet et fixe
Est ce que je peux appeler en national avec les pass All'o Afrique et pass All'o Reste du monde?,Ces pass ne concernent que les appels vers l'international. Les appels nationaux mobiles et fixes ne sont pas facturés dans ces pass. Aussi ces pass ne sont utilisables qu'à partir du Sénégal.,Bienvenue
J'ai entendu dire que quelqu'un qui se trouve en France peut m'envoyer de l'argent sur mon compte Orange Money?,"A partir du vendredi 18 Novembre 2016, les clients Orange Money ont la possibilité recevoir des transferts d’argent provenant de la France sur leur compte Orange Money. 
La personne doit juste avoir un compte Orange Money sur sa puce Orange France. Elle pourra dès lors vous envoyer de l'argent sur votre compte orange money. Vous aurez juste à composer le #144#2*3# pour consulter le  solde de votre compteur transfert international et vous rendre au niveau d'un point Orange Money pour faire un retrait.
Les frais de retrait ne changent pas. Il y'a cependant des frais d'envoi. Vous pouvez consulter la question parlant les frais d'envoi depuis la France.",Orange Money
Combien coûte une opération de transfert de mon Compte Ecobank vers celui Orange Money?,Un tarif fixe de 400 FCFA est appliquée pour le transfert de votre compte bancaire Ecobank vers votre Kalpé Orange Money.,Orange Money
J'ai entendu dire que vous avez un partenariat avec CANAL. Quels sont les bouquets que vous nous proposez pour la TVO?,"Il faut savoir qu'avec nos offres home et home PLUS, plusieurs chaines africaines vous sont offertes. La TV d'Orange va donc avec le réseau téléphonique d'Internet haut débit.
Dans le cadre de notre partenariat avec CANAL, plusieurs bouquets TVO vous sont proposés :
-Le bouquet Orange qui est offert avec nos offres home et home+.
-Le bouquet Acces à 5.000fr
-Le bouquet Evasion à 10.000fr
-Les chaines Canal à 10.000fr
-Le bouquet Evasion+ à 18.000fr
-Tout canal à 40.000fr
Pour plus de détails, vous pouvez vous rendre sur les liens suivants :
http://www.home.sn/bouquet-orange/
http://www.canalplus-afrique.com/offres .",TV d'orange et contenus
Astuce comment accéder à la liste des services de Orange ?,Il faut composer le #111# qui est le graal des codes courts.Vous aurez ainsi accès à l'ensemble des services d'Orange.,Bienvenue
Je voudrai avoir des renseignements sur votre offre ADSL HOME PLUS et les modalités de souscription.,"Voici les caractéristiques de l'offre Home Plus : 
>Frais d'accès à 35.000Fr;
> Redevance mensuelle de 29.900 F;
>Accès au nouveau bouquet Orange; 
>Disque dur et décodeur offerts 
>ADSL 10 Mégamax; 
>Illimité vers 2 Mobiles Orange; Illimité Voix vers fixes Sonatel 24/7; Forfait bloqué voix de 20.000 CFA et possibilité de recharger votre crédit en plus du téléphone fixe offert. 
Pour souscrire, il faut vous rapprocher d'une de nos agences muni de votre pièce d'identité et du numéro de téléphone fixe d'un de vos voisins proches.
Nos agences sont ouvertes du lundi au vendredi de 07H30 à 16H45 avec une pause de 13H30 à 15H uniquement les vendredis. 
Elles sont aussi ouvertes les samedis de 9H à midi à DAKAR.",Internet et fixe
J'ai entendu parler de votre nouvelle offre KEURGUI. Qu'est-ce que c'est?,"Avec l'ADSL Keurgui, bénéficiez d'internet haut débit 24h/24 pour un confort de navigation sans limite.
• Internet illimité 24H/24, pour un plaisir et un confort de navigation sans contrainte,
• Une connexion Internet haut débit ADSL, illimitée 24H/24.
• Un modem Wifi avec amélioration du débit.
Le pack KEURGUI c'est :
• Une connexion plus fluide avec en haut débit ADSL illimitée 
• 1 Modem Wifi,
• 1 Forfait crédit 6195F TTC,
• 1 Numéro illimité fixe.
Tarifs :
• Frais d’accès au service : 25 000 FCFA TTC
• Redevance mensuelle : 12 900 FCFA TTC",Internet et fixe
Comment désactiver le service suivi Conso?,Il faut envoyer STOP au  21721.,Offres mobiles
"J’ai entendu parler de SOS Pass Internet, qu’est ce que c’est ?",Est une solution qui vous permet de bénéficier d’un Pass internet lorsque vous êtes à court de crédit ou de Pass internet épuisé. Ce prêt sera déduit du prochain rechargement du client sans frais supplémentaire.,Internet mobile
Comment faire pour récupérer ma puce Orange? Puis-je envoyer quelqu'un?,"Vous voulez récupérer votre puce?
C'est très simple, il faudra juste vous rendre en agence, muni de votre pièce d'identité si vous êtes de nationalité sénégalaise ou de de votre passeport.
Si vous n'êtes pas sénégalais, il faudra vous munir de votre passeport.
Vous pouvez également mandater une personne de confiance en prenant le soin de lui remettre procuration signée en plus de la copie de votre pièce d'identité.
Le mandataire doit se rendre en agence avec une copie de sa pièce d'identité également. 
L'opération vous coûtera 1.000fr.",Offres mobiles
Que me conseillez vous pour un meilleur usage : pass volume ou pass durée?,"Nous vous conseillons pour votre smartphone les pass volumes, par contre les pass durée sont plus adaptés pour les usages sur votre modem ou clé internet.",Internet mobile
Quelle est la nouvelle tarification pour virer de l'argent de son Compte Orange Money vers son compte bancaire BICIS ?,"La tarification est faite comme suit :
De 500 F CFA – 100 000 F CFA les frais sont de  1 500 F CFA TTC.",Orange Money
Quelles sont vos offres ADSL WIFI?,">L'offre Keurgui: Frais d'accès: 25.000Fr ; Redevance mensuelle à 12.900F , débit 1 méga;
>L'offre Home: Frais d'accès : 35 000Fr ; Redevance mensuelle à 22.900F , débit de 2 à 4 mégas actuellement;
>L'offre Home+: Frais d'accès 35 000Fr ; Redevance mensuelle à 29.900F , débit 10 mégas;
Vous pouvez vous rendre sur ces liens pour avoir plus de détails : http://www.home.sn/ et https://www.orange.sn/2/particuliers/1/26/adsl-kheweul-223.html .
Pour souscrire, il faut vous rapprocher d'une de nos agences muni de votre pièce d'identité et du numéro de téléphone fixe d'un voisin ou numéro de poteau Sonatel le plus proche.
Nos agences sont ouvertes du lundi au vendredi de 08H00 à 16H45 avec une pause de 13H30 à 15H uniquement les vendredis.",Internet et fixe
"Je suis déjà client ADSL 2 Mega max (BIO ou BIV) , quelle offre Fibre me recommandez-vous?","Nous vous conseillons l’offre Fibre Office qui va vous permettre d’avoir un accès très performant et stable dont le débit à la réception qui est de 50 Mbit/s.
Vous aurez aussi tous les avantages de téléphonie que vous avez actuellement sur votre ligne Business Internet :
>crédit téléphone de 15 000 F TTC
>illimité vers 3 numéros fixes 24/24 et 7/7
>illimité vers 1 numéro mobile.",Internet et fixe
Le solde de mes Pass durée est-ce disponible sur menu #1234#?,"Oui, le solde restant des Pass durée est disponible sur l’option suivi conso.",Internet mobile
J'ai entendu dire qu'on pouvait acheter un illimix avec l'application Orange et moi et via Orange Money. Comment faire?,"Je t'explique comment faire avec les deux :
•Orange et moi : lancer l’appli et aller à la rubrique Pass Illimix sur la page d’accueil qui s’affiche automatiquement 
•Orange Money : choisir la rubrique 4 achat de crédit et pass , puis achat pour mon numéro et ensuite choisir Illimix .",Offres mobiles
Comment faire pour bénéficier des points SARGAL offerts sans recharger du crédit?,"Vous devez vous inscrire à Sargal et devenir par votre utilisation de Jamono un client Gold, Platinum ou Premium
Si vous êtes Jamono Max, il suffit d’être inscrit à Sargal, et recharger au total 2500F la semaine. Si vous n’êtes pas encore inscrit à Sargal, RV au #221#. Vous aurez besoin de votre pièce d’identité.",Offres mobiles
Quels sont les principaux avantages de cette nouvelle gamme Teranga ?,"Des offres accessibles à tous les budgets: à partir de 4 900F HT/mois pour Teranga Initial, et 7 900F HT/mois pour Teranga Premium et Liberty.
de l'abondance sur les appels, SMS et l'internet mobile 4G
un large choix de forfaits mobiles ouverts ou bloqués
un smartphone inclus dans les forfaits Teranga Premium
des appels illimités vers Orange et entre collaborateurs
des bonus d'appel jusqu'à 200%
une tarification préférentielle
le report des forfaits voix et internet non consommés.",Offres mobiles
Puis-je paramétrer mon téléphone via ce nouveau menu sur le #1234#?,Puis-je paramétrer mon téléphone via ce nouveau menu?,Internet mobile
Et mon bonus toutes destinations? Mon bonus vers Orange?,"Si vos bonus devaient expirer le 30 mars, ils seront perdus. Seul, le compteur rechargement est prolongé à 6 mois.",Offres mobiles
Comment consulter le résumé des consommations par téléphone ?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 1 pour consulter votre consommation du mois indiqué.
Le serveur vous lit le résumé de votre consommation du mois.",Internet mobile
"J’ai vu des agents avec des tenues « revendeurs itinérants Orange Money », de quoi s’agit-il?","Effectivement, Orange Money est encore plus proche de vous avec des agents itinérants déployés sur Dakar, pour le moment, pour vous permettre d’effectuer toutes vos opérations.",Orange Money
Si je change de puce est ce que je pourrai récupérer tous mes contacts avec sauvegarde répertoire Orange ?,"En cas de changement de puce, la récupération est possible si au préalable vous aviez sauvegardé vos contacts enregistrés sur la puce. 
La récupération est gratuite.",Offres mobiles
J’ai un souci avec ma LiveBox puis je disposer du nouveau modem FUNBOX ORANGE ?,"Rendez-vous en Agence, si le problème avec votre LiveBox est avéré, nous vous l’échangeons gratuitement contre ce nouveau modem.",Internet et fixe
Quels sont les frais d'accés pour la Keurguibox Orange?,,Internet et fixe
Existe t-il un plafond autorisé pour les paiement en ligne via Orange Money avec Paydunya ?,Oui vous pouvez payer avec Orange Money jusqu’à 1 500 000 F au maximum.,Orange Money
Comment configurer votre messagerie professionnelle sur Android?,"Si vous disposez d’une messagerie professionnelle Microsoft Exchange au sein de votre entreprise et que vous voulez y accéder à tout moment, voici comment la configurer sur votre smartphone Android en 6 étapes (en fonction de la marque et du modèle, les menus peuvent différer quelque peu) :
1. Rendez-vous dans « Paramètres » puis « Comptes » et cliquez «sur « Ajouter un compte ». Sélectionnez « Microsoft Exchange Active Sync ».
2. Après avoir collecté les informations nécessaires, remplissez dans l’ordre :
- Adresse e-mail
- Mot de passe
Cliquer sur « Suivant » pour renseigner :
- Nom de domaine\nom d’utilisateur
- Mot de passe (déjà renseigné)
- Serveur Exchange (à remplir ou compléter)
- Cochez « Utiliser une connexion sécurisée (SSL) » ou sans connexion SSL  et cliquez sur « Suivant »
3. Si jamais vous ne connaissez pas ces informations, vous pouvez consulter le service informatique de votre entreprise ou votre fournisseur de Service Exchange afin de les récupérer.
4. Vous pouvez ensuite régler vos options de synchronisation (Push), la taille de récupération des e-mails etc…
5. Configurez le nom de votre compte, et cliquez sur « Ok ».
6. Votre compte de messagerie professionnelle est maintenant configuré et accessible via l’application « Email » de votre smartphone Android.",Terminaux et applications
"Bonjour, je souhaite me faire sponsoriser par Orange. Que faudrait-il que je fasse?","Nous vous remercions pour l'intérêt que vous portez à Orange. 
Concernant votre demande de Sponsoring, nous vous invitons à monter le dossier qu'il faudra déposer à la direction Marketing sise au siège Orange, sur la VDN.",Bienvenue
"Le report de volume des pass internet mobile, comment fonctionne t-il?","Lorsque vous avez un pass mois 7Go,15Go ou 30Go en cours, à la fin de la validité, si vous n’avez pas utilisé la totalité du pass, il vous suffit de racheter un autre de ces pass dans les 30 jours suivant la fin de validé, pour bénéficier du report de volume non consommé.
Le report de volume s’applique sur les pass 7Go,15Go et 30Go.",Internet mobile
Puis-je paramétrer l'internet sur mon téléphone via le menu #1234# ?,Tout à fait. Il est possible de paramétrer son téléphone via la rubrique paramétrage: option 5 du menu #1234#,Terminaux et applications
Comment se désinscrire de Alerte actu en 2 étapes !?,"• Etape 1 Faire le #111#261# 
• Etape 2 : choisir le menu se désinscrire",Offres mobiles
Comment pourrai-je suivre mon forfait et les PASS achetés?,"C’est très simple, un selfcare est disponible à l’adresse www.passorange.sn et permet d’effectuer les actions suivantes
 Consultation du forfait restant; Rechargement de crédit; Achat de Pass  de connexion Internet et  Consultation de l’historique des Pass achetés .",Internet mobile
Quels sont vos Offres sur la Télé Orange?,"La TV d'Orange est une de nos offres qui délivre des programmes de télévision par le réseau téléphonique d'Internet haut débit. Avec les offres home et home plus, le bouquet Orange vous est offert. Rendez-vous sur ce lien pour connaitre l'ensemble des chaines qui vous sont offertes : http://www.home.sn/?page_id=10 . Si vous disposez, d'un abonnement home et home, vous pouvez prendre en option un des bouquets canal suivant : 
-Le bouquet Acces à 5.000fr
-Le bouquet Evasion à 10.000fr
-Les chaines Canal à 10.000fr
-Le bouquet Evasion+ à 18.000fr
-Tout canal à 40.000fr
Pour plus de détails, vous pouvez vous rendre sur les liens suivants :
http://www.home.sn/bouquet-orange/
http://www.canalplus-afrique.com/offres",TV d'orange et contenus
Comment est le Galaxy Grand Prime PLUS?,,Terminaux et applications
Quelle est la procédure à suivre pour débloquer mon iphone acheté chez Orange?,Il faut faire une demande de déblocage + le bordereau de livraison et/ou la facture et patienter maximum pendant 15 jours pour que le desimlockage soit effectif.,Tutoriel
Comment faire pour souscrire à l'offre Keurgui Box Entreprise ?,"Les conditions d’accès à l'offre Keurgui Box Entreprise sont les suivants :
• Etude d’éligibilité de la zone client en 3G minimum.
• NINEA ou Registre de commerce
• Présentation du CNI du représentant
• Les Frais d’accès à 39 900F HT sont requis,
• Une redevance mensuelle sera payée selon la classe de l’offre souscrite
• Signature du contrat d’abonnement.",Internet mobile
Comment créer un compte App Store Gratuit sur iPhone (iOS)?,"1- Touchez l’icône « Réglages » dans l’écran d’accueil de votre iPhone ;
2- Descendez au milieu de la page Réglages puis touchez « iCloud » ;
3- Touchez « Créer un identifiant Apple » ;
4- Tapez votre date de naissance puis touchez « Suivant » ;
5- Tapez votre nom et votre prénom puis touchez « Suivant » ;
Touchez « Nouvelle adresse iCloud gratuite » ;
6- Créer une adresse email puis touchez « Suivant » puis touchez « Continuer » ;
7- Tapez le mot de passe 2 fois puis touchez « Suivant » ;
8- Tapez les 3 questions-réponses de sécurité pour sécuriser votre compte, puis touchez à  chaque fois « Suivant » pour confirmer l’opération ;
9- Touchez « Accepter » pour accepter les conditions générales ;
10-Touchez « Ne pas fusionner » puis clôturer l’opération en cliquant sur « Ok »",Terminaux et applications
Pass Internet Orange au volume,,Internet mobile
Comment souscrire à Crédit Goal ?,"Crédit Goal est un service permettant de parier sur les matchs et de bénéficier de bonus crédit. 
Il faut faire le #555# puis choisir l’option 5.",Offres mobiles
Comment supprimer ou bloquer un ami sur snapchat?,"Si vous bloquez un Snapchatter, il ne pourra plus voir votre Story, ni vous envoyer des Snaps ou des Chats.
Pour bloquer un Snapchatter de votre liste d'amis, suivez les étapes ci-dessous :
1. Appuyez sur « Mes amis » dans l'écran de votre profil.
2. Appuyez sur son nom d'utilisateur.
3. Appuyez sur le symbole « Paramètres » sous leur nom et sélectionnez  « Bloquer » pour les empêcher de vous envoyer des Snaps, des Chats ou de voir votre Story.",Terminaux et applications
C’est quoi cette application Partenaires Orange Money?,"C’est une application destinées a nos partenaires et qui facilite la démarche pour toutes les transactions Orange Money (retrait, versement, transferts, commissions, notifications…).
Ils pourront effectuer toutes leurs transactions sans passer par le code USSD.",Orange Money
Comment retrouver sur son galaxy S8/S8+ en cas de perte ou de vol ?,"Prenez les devants : en cas de perte ou de vol de votre smartphone, localisez votre smartphone à l'aide de la fonction de traçage. Celle-ci se est accessible depuis la fonction Paramètres > Écran verrouillage/Sécurité > Traçage du mobile.",Terminaux et applications
Quels sont tous les avantages de ce changement sur les profils?,"Ci-dessous tous les avantages engendrés par ce changement :
1.Des validités revues : illimitée sur le crédit rechargé (limite 12 mois) et 30 jours du bonus
2.Des illimix adaptés en durée/horaire d’utilisation, et des services pour simplifier vie du client :
−la possibilité de l’acheter directement par Orange Money
−report de minutes et abonnement illimix
−Des bonus lorsque le client l’achète par Orange Money ou l’appli Orange et moi
3.Des avantages exclusifs
−Surprises sur le programme de fidélité Sargal
−Une offre Family qui tient compte des tout-petits pour leur permettre de joindre à tarif réduit leurs parents : 0,5F/s ou 5F/SMS
−Meilleurs tarifs internationaux, des Pass Internationaux #165# et de Pass roaming #166#.",Offres mobiles
Comment consulter mes factures à partir de ma ligne mobile?,"Composez directement le numéro du serveur à partir de votre ligne Orange Teranga dont vous souhaitez consulter la facture. Le serveur décroche automatiquement, lit le message de bienvenue et propose de choisir une langue de dialogue.
Une fois cela fait, pour vos prochains appels, composez simplement le numéro du serveur.",Offres mobiles
Est ce que je peux souscrire à un pass All'o Afrique et pass All'o Reste du monde en même temps ?,"Oui, vous pouvez souscrire à un pass All'o Afrique et un pass All'o reste du monde en même temps et vice versa.
Cependant, vous ne pouvez pas souscrire à un pass d'une même zone s'il y en a un en cours de validité.",Bienvenue
J’ai entendu parler de la possibilité pour un distributeur de payer nos factures directement à partir de son compte.,Oui à partir du vendredi 13 février 2018 tous les partenaire  distributeurs Orange Money  (sauf stations TOTAL)  pourront payer directement les factures de tous les client à partir du #145#.,Orange Money
Où puis-je souscrire à l'offre Keurgui Box ?,"Vous pouvez souscrire à Keurgui Box dans toutes les agences de Sonatel. 
Pour cela:
Une étude d’éligibilité de votre zone sera fait, votre zone doit au moins être couverte 3G,
Il faudra une copie de la carte d’identité du signataire du contrat ou de son passeport,
Payer les Frais d’accès à 35 000FTTC.
Signer le formulaire de rétractation,
Signer le contrat de vente",Internet mobile
Comment modifier le code secret permettant l’accès par une autre ligne téléphonique?,"1°) Accédez au serveur
2°) Appuyez sur 4 pour modifier vos options personnelles.
3°) Appuyez sur ensuite sur 1 pour configurer l’accès à partir d’une ligne fixe. 
Le serveur vous dit qu’actuellement vos informations de facturation sont accessibles à partir d’une autre ligne et vous propose un menu pour modifier vos options d’accès.
4°) Appuyez finalement sur 2 pour modifier votre code secret.",Offres mobiles
Comment bloquer un numéro sur Android simplement?,"Il est très facile de bloquer un numéro sur Android simplement dans l'application contacts. Et de suivre cette procédure : 
1. Allez voir la fiche du contact que vous voulez bloquer
2. Appuyez sur la touche menu de votre Android ou sur les trois points, selon votre modèle. 
3. Cochez la case Transférer les appels vers la messagerie"" ou ""Bloquer le numéro"". Ainsi, à chaque fois que vous recevrez un appel provenant de ce numéro, il sera automatiquement dirigé vers votre messagerie.",Terminaux et applications
Comment récupérer des contacts perdus sur Android ?,"Avant toute chose, il faut avoir la certitude que les contacts que vous cherchez ne sont simplement pas cachés.
Pour en avoir le cœur net, il suffit de faire les manipulations suivantes :
>Ouvrir votre liste de contacts
>Localiser et appuyer sur le bouton menu (les trois petits points situés en haut à droite)
>Rentrer dans le sous-menu Contacts à afficher
>Sélectionner Tous les contacts
Si les contacts ne sont toujours pas visibles, vous pouvez accéder au site de google pour les restaurer. L’option synchronisation contacts devait au préalable être activée!
Rendez-vous à cette adresse (sur un ordinateur) : https://contacts.google.com/
Connectez-vous avec vos identifiants Google si nécessaire
Dans la barre de navigation située à gauche, développer le sous-menu Plus, cliquez sur Restaurer les contacts
Un pop up apparaîtra et vous n'aurez qu'à choisir votre période de restauration!
Eh oui!!!!!!",Terminaux et applications
Je viens de recevoir un message m’informant de la sauvegarde répertoire Orange . De quoi s’agit-il?,Orange a lancé à nouveau l’offre sauvegarde répertoire afin de conserver vos contacts de votre répertoire sim et de pouvoir les récupérer même en cas de perte de votre téléphone.,Offres mobiles
"J'ai entendu parler de votre nouvelle offre Keugui Box, qu'est-ce que c'est?","KeurguiBOX est une offre résidentielle qui vous permet d’avoir une connexion wifi en haut débit avec le réseau mobile 3G/4G et d’émettre des appels. Avec KeurguiBOX, bénéficiez d'internet haut débit partout au Sénégal.
Le pack KeurguiBOX c’est :
Un modem wifi 3G/4G avec le modèle « Satisfait ou Remboursé »,
Une SIM dédiée avec un numéro spécifique commençant par 33XXX comme pour le fixe pour bénéficier de la téléphonie fixe,
Un Pass internet de 2Go et un crédit initial de 2 500FTTC valable 1 mois sont offerts sur la nouvelle SIM,  pour vous permettre d’utiliser la voix avec un téléphone fixe en optio.n
KeurguiBOX est vendu à 35 000FTTC et est utilisable uniquement dans les zones éligibles 3G/4G, avec le modèle « Satisfait ou Remboursé », dans un délai de 8 jours.
NB : l’offre est soumise à une condition d’éligibilité de votre zone d’habitation, l’étude sera faite en agence avant la vente.",Offres mobiles
"Bonjour, j'ai entendu parler d'une offre qui s'appelle WEB TO SMS. Qu'est-ce que c'est?","Le service  Web to SMS Entreprise qui est un service de messagerie qui permet d’envoyer simultanément par SMS, et à partir d’Internet, une information à une liste  d’abonnés sur leurs numéros mobiles Orange, de même qu’à des clients d’autres opérateurs mobiles au Sénégal (Tigo et Expresso notamment) et à l’international.
La facturation est dégressive et au forfait. Pas de frais d’accès. En dehors de la redevance mensuelle de 2.500 F HT, le service est facturé selon les modalités suivantes :
Nombre de SMS envoyés dans le mois------------->Tarif HT par message----------------->International
De 1 à 500 SMS----------------------------------------->40F CFA---------------------------------->85 HT
500 à 9 999 SMS---------------------------------------->25F CFA---------------------------------->85 HT
Plus de 10 000 SMS------------------------------------>24 F CFA--------------------------------->85 HT 
Voici les bénéfices :
- le client gère sa propre base et les messages qu’il délivre;
- partout où il y a Internet, les messages peuvent être délivrés et avec tout terminale (smatphone, tablette, laptop ou ordinateur);
- fiable (cible atteinte) et discret;
- facturation postpayée (vous consommez puis vous payez en fin de mois);
- le client a même la possibilité d’envoyer des messages aux clients Tigo, Expresso et sur l’international.
Les papiers à fournir sont les suivants :
-NINEA
-REGISTRE DE COMMERCE
-DEMANDE SUR PAPIER ENTÊTE DE L'ENTREPRISE
S'il s'agit d'une association, il nous faut l'agrément.",Offres mobiles
Je dispose d’une offre postpaid (Teranga ou Forfait Mobiles ..) est ce que je peux migrer vers la nouvelle gamme Teranga,"Oui vous pouvez migrer vers la nouvelle offre Teranga que vous souhaitez et bénéficier de ses avantages.
Il vous suffit de vous rendre en agence muni de vos pièces ou d'en parler à votre conseillé commercial.
Pour la migration vers une offre ouverte, ce sera gratuit mais si vous souhaitez passer à une offre bloquée vous devrez payer le montant du forfait choisi lors de la souscription.
Votre dernière facture sur votre ancienne offre sera due.
L’activation de votre nouvelle offre se fera au 1er du mois à venir.",Offres mobiles
Comment modifier la région ou le pays associé à son identifiant Apple ?,,Tutoriel
Je suis Kirène avec Orange puis-je faire le Seddo Pass Internet ?,,Offres mobiles
"Je suis prépayé (Jamono Allo, Max, Scool), est-ce je peux souscrire sur la nouvelle Teranga en conservant le mon numéro?","Oui vous pouvez souscrire à la nouvelle offre Teranga et bénéficier de ses avantages.
Il vous suffit de vous rendre en agence muni de vos pièces ou d'en parler à votre conseillé commercial.
Vous pourrez souscrire à une offre Teranga  bloquée, le montant du forfait est exigé lors de la souscription. 
La souscription à une l’offre Teranga ouverte est non autorisée pour le numéro prepaid, pour cela vous devrez payer les FAS postpaid et changer de numéro.
L’activation de votre nouvelle offre se fera immédiatement.",Offres mobiles
Je constate que mon pass Keurgui Box s’épuise vite. Pouvez vous m’expliquer?,"Une connexion au volume est différente d’une connexion illimitée. Il est donc important de prendre les précautions suivantes:
1.Ne partager votre connexion que quand c’est nécessaire
2.N’effectuer les mises à jours que quand c’est nécessaire. Si possible le faire dans un endroit ou vous disposer d’une connexion illimitée
3.Désactiver la fonctionnalité « Mise à jour automatique » sur vos Téléphones , tablettes ou ordinateurs
4.Lorsque vous avez fini de vous connecter, si vous ne souhaitez pas éteindre le modem, vous pouvez appuyer sur le bouton « pause » du modem pour stopper la connexion.",Offres mobiles
"Je suis étudiant, est-ce possible de payer mes droits d'inscription via Orange Money?","A partir de ce 14/11/2016, les nouveaux bacheliers peuvent désormais payer leurs droits d'inscription via Orange Money pour l'année scolaire 2016-2017.
Ci-dessous le parcours pour payer ses droits d’inscription à l’université.
•Je compose le #144*37#
•Je choisis ensuite l’option 1 : CAMPUSEN
•Je suis les instructions pour payer les frais avec mon numéro identifiant :
•Le Numéro de l’Identification Numéro Etudiant
•La date de naissance
•Ex : pour un étudiant dont l’INE est N0000015304, né le 19 avril 1989, il doit saisir :
•N0000015304-19890419 comme donnée d’entrée
Le service est facturé à 500fr.",Orange Money
Comment installer l'application Orange et moi?,,Terminaux et applications
